open,close,high,low,value,volume,begin,end
2738.2,2732.0,2738.2,2732.0,30068.8,11,2011-12-15 16:42:00,2011-12-15 16:42:59
2735.6,2735.6,2735.6,2735.6,2735.6,1,2011-12-15 16:43:00,2011-12-15 16:43:59
2734.9,2737.0,2737.0,2734.2,106680.6,39,2011-12-15 16:44:00,2011-12-15 16:44:59
2735.4,2741.2,2741.2,2729.9,32838.7,12,2011-12-15 16:45:00,2011-12-15 16:45:59
2747.6,2745.4,2747.6,2745.4,24710.8,9,2011-12-15 16:46:00,2011-12-15 16:46:59
2741.3,2739.5,2741.3,2739.5,41113.9,15,2011-12-15 16:47:00,2011-12-15 16:47:59
2744.8,2742.9,2744.8,2742.9,93321.3,34,2011-12-15 16:48:00,2011-12-15 16:48:59
2736.7,2736.7,2736.7,2736.7,13683.5,5,2011-12-15 16:49:00,2011-12-15 16:49:59
2739.5,2736.6,2739.5,2736.6,32870.6,12,2011-12-15 16:51:00,2011-12-15 16:51:59
2742.6,2745.4,2745.4,2742.6,82297.7,30,2011-12-15 16:52:00,2011-12-15 16:52:59
2737.2,2740.6,2748.1,2736.4,373058.2,136,2011-12-15 16:53:00,2011-12-15 16:53:59
2740.5,2742.1,2749.1,2740.4,238576.2,87,2011-12-15 16:54:00,2011-12-15 16:54:59
2741.9,2749.7,2749.7,2741.1,90686.0,33,2011-12-15 16:55:00,2011-12-15 16:55:59
2749.6,2742.4,2750.1,2742.4,203356.6,74,2011-12-15 16:56:00,2011-12-15 16:56:59
2749.1,2743.3,2750.0,2743.0,123701.5,45,2011-12-15 16:57:00,2011-12-15 16:57:59
2751.2,2756.2,2756.5,2745.4,639182.1,232,2011-12-15 16:58:00,2011-12-15 16:58:59
2757.2,2746.6,2762.0,2746.6,540038.0,196,2011-12-15 16:59:00,2011-12-15 16:59:59
2756.1,2756.0,2756.1,2756.0,22048.1,8,2011-12-15 17:00:00,2011-12-15 17:00:59
2753.9,2754.4,2754.4,2753.7,110155.4,40,2011-12-15 17:03:00,2011-12-15 17:03:59
2753.9,2752.1,2753.9,2752.1,143142.1,52,2011-12-15 17:04:00,2011-12-15 17:04:59
2751.9,2751.9,2751.9,2751.9,27519.0,10,2011-12-15 17:09:00,2011-12-15 17:09:59
2753.6,2753.8,2753.8,2753.6,5507.4,2,2011-12-15 17:11:00,2011-12-15 17:11:59
2753.7,2753.7,2753.8,2753.7,90874.0,33,2011-12-15 17:12:00,2011-12-15 17:12:59
2753.6,2753.6,2753.7,2753.6,90869.2,33,2011-12-15 17:13:00,2011-12-15 17:13:59
2753.7,2753.7,2753.7,2753.7,13768.5,5,2011-12-15 17:14:00,2011-12-15 17:14:59
2746.8,2745.5,2746.8,2745.5,315818.4,115,2011-12-15 17:15:00,2011-12-15 17:15:59
2745.5,2744.1,2745.5,2744.1,159230.6,58,2011-12-15 17:16:00,2011-12-15 17:16:59
2744.1,2749.9,2753.2,2744.1,613316.0,223,2011-12-15 17:17:00,2011-12-15 17:17:59
2749.9,2753.7,2753.7,2749.9,220019.6,80,2011-12-15 17:18:00,2011-12-15 17:18:59
2753.7,2759.2,2759.8,2753.7,934362.0,339,2011-12-15 17:19:00,2011-12-15 17:19:59
2754.0,2753.1,2754.1,2753.1,506611.9,184,2011-12-15 17:20:00,2011-12-15 17:20:59
2750.0,2758.5,2758.5,2745.2,82581.5,30,2011-12-15 17:21:00,2011-12-15 17:21:59
2757.4,2759.5,2759.5,2757.4,115894.8,42,2011-12-15 17:24:00,2011-12-15 17:24:59
2751.9,2749.6,2751.9,2749.6,13756.9,5,2011-12-15 17:28:00,2011-12-15 17:28:59
2759.2,2759.6,2759.6,2759.1,168313.0,61,2011-12-15 17:32:00,2011-12-15 17:32:59
2759.6,2759.6,2759.6,2759.6,13798.0,5,2011-12-15 17:33:00,2011-12-15 17:33:59
2759.6,2759.6,2759.6,2759.6,5519.2,2,2011-12-15 17:34:00,2011-12-15 17:34:59
2759.6,2759.8,2759.8,2759.6,55194.4,20,2011-12-15 17:38:00,2011-12-15 17:38:59
2759.8,2759.9,2759.9,2759.8,126954.8,46,2011-12-15 17:39:00,2011-12-15 17:39:59
2759.9,2765.0,2765.0,2759.9,124359.2,45,2011-12-15 17:42:00,2011-12-15 17:42:59
2764.5,2765.0,2770.0,2764.5,378953.5,137,2011-12-15 17:43:00,2011-12-15 17:43:59
2765.0,2765.0,2774.9,2761.0,1006603.7,364,2011-12-15 17:44:00,2011-12-15 17:44:59
2764.0,2764.0,2764.0,2764.0,22112.0,8,2011-12-15 17:51:00,2011-12-15 17:51:59
2764.0,2764.0,2764.0,2764.0,5528.0,2,2011-12-15 17:52:00,2011-12-15 17:52:59
2764.0,2768.0,2768.0,2764.0,127194.0,46,2011-12-15 17:53:00,2011-12-15 17:53:59
2764.9,2757.1,2765.0,2756.2,182460.2,66,2011-12-15 17:54:00,2011-12-15 17:54:59
2764.7,2765.0,2765.0,2764.7,41474.7,15,2011-12-15 17:56:00,2011-12-15 17:56:59
2765.0,2765.0,2765.0,2765.0,13825.0,5,2011-12-15 17:57:00,2011-12-15 17:57:59
2764.9,2764.9,2764.9,2764.9,55298.0,20,2011-12-15 18:00:00,2011-12-15 18:00:59
2753.3,2752.8,2754.0,2751.3,88082.7,32,2011-12-15 18:03:00,2011-12-15 18:03:59
2749.7,2745.1,2749.7,2743.4,71400.5,26,2011-12-15 18:05:00,2011-12-15 18:05:59
2745.9,2744.3,2745.9,2743.6,60377.7,22,2011-12-15 18:06:00,2011-12-15 18:06:59
2744.4,2736.1,2744.4,2736.1,249496.0,91,2011-12-15 18:07:00,2011-12-15 18:07:59
2742.2,2742.2,2742.2,2742.2,27422.0,10,2011-12-15 18:12:00,2011-12-15 18:12:59
2743.0,2743.3,2743.5,2742.9,93268.3,34,2011-12-15 18:14:00,2011-12-15 18:14:59
2743.3,2735.4,2743.3,2735.4,117861.6,43,2011-12-15 18:15:00,2011-12-15 18:15:59
2735.0,2735.0,2735.0,2735.0,8205.0,3,2011-12-15 18:16:00,2011-12-15 18:16:59
2735.6,2739.9,2739.9,2735.6,227401.2,83,2011-12-15 18:17:00,2011-12-15 18:17:59
2740.1,2745.0,2745.0,2740.1,230455.2,84,2011-12-15 18:19:00,2011-12-15 18:19:59
2749.1,2749.2,2749.2,2749.1,335399.6,122,2011-12-15 18:21:00,2011-12-15 18:21:59
